latitude,longitude,angle_deg
-22.713398990628384,-47.62855475585838,85.0
-22.713399789826184,-47.62855468386708,85.5
-22.713400589573066,-47.628554619439086,86.0
-22.713401389808126,-47.6285545625793,86.5
-22.713402190470426,-47.62855451329207,87.0
-22.713402991498988,-47.62855447158113,87.5
-22.713403792832814,-47.62855443744967,88.0
-22.71340459441088,-47.62855441090028,88.5
-22.713405396172135,-47.62855439193498,89.0
-22.713406198055534,-47.62855438055523,89.5
-22.713407,-47.62855437676188,90.0
-22.713407801944467,-47.62855438055523,90.5
-22.713408603827865,-47.62855439193498,91.0
-22.713409405589122,-47.62855441090028,91.5
-22.713410207167186,-47.62855443744967,92.0
-22.713411008501012,-47.62855447158113,92.5
-22.713411809529575,-47.62855451329207,93.0
-22.713412610191874,-47.6285545625793,93.5
-22.713413410426934,-47.628554619439086,94.0
-22.713414210173816,-47.62855468386708,94.5
-22.713415009371616,-47.62855475585838,95.0
-22.71341580795947,-47.62855483540751,95.5
-22.713416605876564,-47.62855492250841,96.0
-22.713417403062135,-47.62855501715444,96.5
-22.71341819945547,-47.628555119338394,97.0
-22.713418994995926,-47.628555229052495,97.5
-22.713419789622915,-47.62855534628839,98.0
-22.713420583275923,-47.628555471037146,98.5
-22.713421375894516,-47.628555603289264,99.0
-22.713422167418326,-47.62855574303467,99.5
-22.713422957787078,-47.628555890262724,100.0
-22.713423746940585,-47.62855604496222,100.5
-22.713424534818746,-47.62855620712136,101.0
-22.713425321361562,-47.628556376727815,101.5
-22.713426106509136,-47.62855655376866,102.0
-22.713426890201678,-47.62855673823041,102.5
-22.7134276723795,-47.62855693009902,103.0
-22.71342845298304,-47.62855712935988,103.5
-22.71342923195286,-47.62855733599782,104.0
-22.713430009229622,-47.62855754999709,104.5
-22.713430784754145,-47.628557771341406,105.0
-22.713431558467367,-47.6285580000139,105.5
-22.71343233031037,-47.628558235997176,106.0
-22.713433100224364,-47.628558479273245,106.5
-22.71343386815073,-47.62855872982359,107.0
-22.713434634030982,-47.62855898762912,107.5
-22.713435397806794,-47.628559252670215,108.0
