"ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad				";;;;;;;;;;;
"45	1	-2.271.339.001.134.030	-47.628.648.318.350.300	5.403.983.154.296.870	2025-04-23T18:13:34Z																								";;;;;;;;;;;
"46	1	-22.713.329.410.180.400	-47.628.588.220.104.500	54.087.890.625	2025-04-23T18:13:39Z																								";;;;;;;;;;;
"47	1	-22.713.335.109.874.600	-47.628.503.646.701.500	5.403.983.154.296.870	2025-04-23T18:13:44Z																								";;;;;;;;;;;
"48	1	-22.713.408.200.070.200	-47.628.467.185.422.700	5.413.594.970.703.120	2025-04-23T18:13:49Z																								";;;;;;;;;;;
"49	1	-22.713.482.128.456.200	-47.628.491.828.218.100	5.418.402.099.609.370	2025-04-23T18:13:54Z																								";;;;;;;;;;;
"50	1	-2.271.349.361.166.350	-47.628.579.922.020.400	5.418.402.099.609.370	2025-04-23T18:13:59Z																								";;;;;;;;;;;
"51	1	-22.713.451.031.595.400	-47.628.650.162.369.000	5.413.594.970.703.120	2025-04-23T18:14:04Z																								";;;;;;;;;;;
"52	1	-22.713.370.146.229.800	-47.628.646.306.693.500	5.413.594.970.703.120	2025-04-23T18:14:09Z																								";;;;;;;;;;;
"53	1	-22.713.325.554.504.900	-47.628.569.696.098.500	5.418.402.099.609.370	2025-04-23T18:14:14Z																								";;;;;;;;;;;
"54	1	-22.713.351.035.490.600	-47.628.490.068.018.400	54.087.890.625	2025-04-23T18:14:19Z																								";;;;;;;;;;;
"55	1	-22.713.423.706.591.100	-47.628.456.624.224.700	5.418.402.099.609.370	2025-04-23T18:14:24Z																								";;;;;;;;;;;
"56	1	-22.713.495.623.320.300	-47.628.503.730.520.600	5.413.594.970.703.120	2025-04-23T18:14:29Z																								";;;;;;;;;;;
"57	1	-22.713.497.970.253.200	-47.628.589.645.028.100	5.418.402.099.609.370	2025-04-23T18:14:34Z																								";;;;;;;;;;;
"58	1	-22.713.441.560.044.800	-4.762.865.100.055.930	5.413.594.970.703.120	2025-04-23T18:14:39Z																								";;;;;;;;;;;
"59	1	-2.271.335.874.684.150	-47.628.634.823.486.200	5.413.594.970.703.120	2025-04-23T18:14:44Z																								";;;;;;;;;;;
"60	1	-22.713.322.453.200.800	-47.628.553.686.663.500	54.087.890.625	2025-04-23T18:14:49Z																								";;;;;;;;;;;
"61	1	-22.713.357.070.460.900	-47.628.479.255.363.300	5.403.983.154.296.870	2025-04-23T18:14:54Z																								";;;;;;;;;;;
"62	1	-22.713.439.129.292.900	-47.628.457.630.053.100	5.413.594.970.703.120	2025-04-23T18:14:59Z																								";;;;;;;;;;;
"63	1	-22.713.498.892.262.500	-4.762.852.150.015.530	5.418.402.099.609.370	2025-04-23T18:15:04Z																								";;;;;;;;;;;
"64	1	-22.713.489.420.711.900	-47.628.604.313.358.600	5.418.402.099.609.370	2025-04-23T18:15:09Z																								";;;;;;;;;;;
"65	1	-22.713.419.599.458.500	-47.628.651.838.749.600	5.413.594.970.703.120	2025-04-23T18:15:14Z																								";;;;;;;;;;;
"66	1	-22.713.346.173.986.700	-47.628.616.048.023.100	54.087.890.625	2025-04-23T18:15:19Z																								";;;;;;;;;;;
"67	1	-22.713.323.961.943.300	-47.628.535.330.295.500	5.403.983.154.296.870	2025-04-23T18:15:24Z																								";;;;;;;;;;;
"68	1	-22.713.377.270.847.500	-47.628.467.353.060.800	5.413.594.970.703.120	2025-04-23T18:15:29Z																								";;;;;;;;;;;
"69	1	-22.713.459.581.136.700	-47.628.467.017.784.700	5.413.594.970.703.120	2025-04-23T18:15:34Z																								";;;;;;;;;;;
"70	1	-22.713.503.334.671.200	-47.628.532.983.362.600	54.087.890.625	2025-04-23T18:15:39Z																								";;;;;;;;;;;
"71	1	-22.713.482.631.370.400	-47.628.615.042.194.700	54.087.890.625	2025-04-23T18:15:44Z																								";;;;;;;;;;;
"72	1	-22.713.404.092.937.700	-47.628.652.425.482.800	54.087.890.625	2025-04-23T18:15:49Z																								";;;;;;;;;;;
"73	1	-22.713.335.612.788.700	-47.628.608.588.129.200	54.087.890.625	2025-04-23T18:15:54Z																								";;;;;;;;;;;
"74	1	-22.713.317.004.963.700	-47.628.522.170.707.500	5.413.594.970.703.120	2025-04-23T18:15:59Z																								";;;;;;;;;;;
"75	1	-22.713.376.935.571.400	-47.628.465.006.127.900	5.403.983.154.296.870	2025-04-23T18:16:04Z																								";;;;;;;;;;;
"76	1	-22.713.467.376.306.600	-47.628.479.590.639.400	54.087.890.625	2025-04-23T18:16:09Z																								";;;;;;;;;;;
"77	1	-22.713.501.155.376.400	-47.628.554.357.215.700	54.087.890.625	2025-04-23T18:16:14Z																								";;;;;;;;;;;
"78	1	-22.713.472.573.086.600	-47.628.632.979.467.500	5.413.594.970.703.120	2025-04-23T18:16:19Z																								";;;;;;;;;;;
"79	1	-22.713.388.586.416.800	-47.628.647.144.883.800	5.403.983.154.296.870	2025-04-23T18:16:24Z																								";;;;;;;;;;;
"80	1	-2.271.332.404.576.240	-47.628.594.674.170.000	5.403.983.154.296.870	2025-04-23T18:16:29Z																								";;;;;;;;;;;
"81	1	-22.713.330.751.284.900	-47.628.506.245.091.500	5.399.176.025.390.620	2025-04-23T18:16:34Z																								";;;;;;;;;;;
