ID;trksegID;lat;lon;ele;time
58;1;-22.713.290.182.873.600;-47.628.638.595.342.600;5.399.176.025.390.620;2025-04-25T13:50:45Z
59;1;-22.713.340.222.835.500;-47.628.477.998.077.800;5.399.176.025.390.620;2025-04-25T13:50:50Z
60;1;-22.713.461.257.517.300;-47.628.581.095.486.800;5.399.176.025.390.620;2025-04-25T13:50:55Z
61;1;-2.271.334.114.484.480;-47.628.678.744.658.800;5.403.983.154.296.870;2025-04-25T13:51:00Z
62;1;-22.713.290.182.873.600;-47.628.526.696.935.200;5.413.594.970.703.120;2025-04-25T13:51:05Z
63;1;-22.713.435.692.712.600;-47.628.509.430.214.700;54.087.890.625;2025-04-25T13:51:10Z
64;1;-22.713.410.882.279.200;-47.628.669.776.022.400;54.087.890.625;2025-04-25T13:51:15Z
65;1;-22.713.277.274.742.700;-47.628.601.463.511.500;54.087.890.625;2025-04-25T13:51:20Z
66;1;-22.713.375.091.552.700;-47.628.478.920.087.200;5.403.983.154.296.870;2025-04-25T13:51:25Z
67;1;-2.271.345.597.691.830;-47.628.618.059.679.800;5.403.983.154.296.870;2025-04-25T13:51:30Z
68;1;-22.713.310.550.898.300;-47.628.663.321.956.900;5.394.368.896.484.370;2025-04-25T13:51:35Z
69;1;-22.713.306.443.765.700;-47.628.499.120.473.800;5.399.176.025.390.620;2025-04-25T13:51:40Z
70;1;-22.713.450.947.776.400;-47.628.541.281.446.800;5.399.176.025.390.620;2025-04-25T13:51:45Z
71;1;-22.713.383.892.551.000;-47.628.683.857.619.700;5.399.176.025.390.620;2025-04-25T13:51:50Z
72;1;-22.713.271.910.324.600;-47.628.557.626.157.900;5.399.176.025.390.620;2025-04-25T13:51:55Z
73;1;-22.713.406.356.051.500;-47.628.488.894.551.900;5.394.368.896.484.370;2025-04-25T13:52:00Z
74;1;-2.271.344.231.441.610;-47.628.649.994.730.900;5.394.368.896.484.370;2025-04-25T13:52:05Z
75;1;-2.271.329.814.568.160;-47.628.638.176.247.400;5.403.983.154.296.870;2025-04-25T13:52:10Z
76;1;-22.713.345.000.520.300;-47.628.487.637.266.500;5.399.176.025.390.620;2025-04-25T13:52:15Z
77;1;-22.713.466.202.840.200;-47.628.581.849.858.100;54.087.890.625;2025-04-25T13:52:20Z
78;1;-2.271.334.994.584.320;-47.628.679.918.125.200;54.087.890.625;2025-04-25T13:52:25Z
79;1;-2.271.328.741.684.550;-47.628.525.188.192.700;5.403.983.154.296.870;2025-04-25T13:52:30Z
80;1;-22.713.434.183.970.000;-47.628.499.707.207.000;5.399.176.025.390.620;2025-04-25T13:52:35Z
81;1;-22.713.410.211.727.000;-47.628.671.703.860.100;5.403.983.154.296.870;2025-04-25T13:52:40Z
82;1;-22.713.278.364.390.100;-47.628.609.007.224.400;5.403.983.154.296.870;2025-04-25T13:52:45Z
83;1;-22.713.376.432.657.200;-47.628.482.775.762.600;5.403.983.154.296.870;2025-04-25T13:52:50Z
84;1;-2.271.345.891.058.440;-47.628.618.814.051.100;5.403.983.154.296.870;2025-04-25T13:52:55Z
85;1;-2.271.331.625.059.240;-47.628.671.284.765.000;54.087.890.625;2025-04-25T13:53:00Z
86;1;-22.713.309.209.793.800;-47.628.502.976.149.300;54.087.890.625;2025-04-25T13:53:05Z
87;1;-22.713.451.031.595.400;-47.628.543.712.198.700;54.087.890.625;2025-04-25T13:53:10Z
88;1;-22.713.377.522.304.600;-47.628.678.660.839.700;54.087.890.625;2025-04-25T13:53:15Z
89;1;-22.713.272.664.695.900;-4.762.856.206.856.660;54.087.890.625;2025-04-25T13:53:20Z
90;1;-22.713.404.847.308.900;-47.628.491.073.846.800;5.413.594.970.703.120;2025-04-25T13:53:25Z
91;1;-22.713.441.895.321.000;-47.628.651.922.568.600;5.413.594.970.703.120;2025-04-25T13:53:30Z
92;1;-22.713.287.165.388.400;-47.628.643.289.208.400;5.403.983.154.296.870;2025-04-25T13:53:35Z
93;1;-22.713.330.164.551.700;-47.628.477.159.887.500;54.087.890.625;2025-04-25T13:53:40Z
94;1;-2.271.346.134.133.630;-47.628.577.323.630.400;5.399.176.025.390.620;2025-04-25T13:53:45Z
95;1;-22.713.357.321.918.000;-47.628.689.389.675.800;5.394.368.896.484.370;2025-04-25T13:53:50Z
96;1;-22.713.291.440.159.000;-4.762.853.960.506.610;5.394.368.896.484.370;2025-04-25T13:53:55Z
97;1;-22.713.433.178.141.700;-47.628.517.812.117.900;5.399.176.025.390.620;2025-04-25T13:54:00Z
98;1;-22.713.414.570.316.600;-47.628.679.582.849.100;5.399.176.025.390.620;2025-04-25T13:54:05Z
99;1;-22.713.275.011.628.800;-47.628.610.767.424.100;5.399.176.025.390.620;2025-04-25T13:54:10Z
100;1;-22.713.365.787.640.200;-47.628.482.775.762.600;5.403.983.154.296.870;2025-04-25T13:54:15Z
101;1;-2.271.345.061.250.030;-476.286.162.994.802;5.399.176.025.390.620;2025-04-25T13:54:20Z
102;1;-2.271.331.331.692.630;-47.628.661.813.214.400;5.403.983.154.296.870;2025-04-25T13:54:25Z
103;1;-22.713.306.108.489.600;-47.628.505.071.625.100;5.403.983.154.296.870;2025-04-25T13:54:30Z
104;1;-22.713.453.378.528.300;-47.628.539.521.247.100;5.399.176.025.390.620;2025-04-25T13:54:35Z
105;1;-22.713.382.802.903.600;-47.628.684.025.257.800;5.399.176.025.390.620;2025-04-25T13:54:40Z
106;1;-22.713.276.436.552.400;-47.628.560.811.281.200;5.394.368.896.484.370;2025-04-25T13:54:45Z
107;1;-22.713.403.925.299.600;-47.628.480.596.467.800;5.394.368.896.484.370;2025-04-25T13:54:50Z
108;1;-22.713.436.363.264.900;-47.628.644.462.674.800;538.956.298.828.125;2025-04-25T13:54:55Z
109;1;-22.713.291.188.701.900;-47.628.635.494.038.400;5.394.368.896.484.370;2025-04-25T13:55:00Z
110;1;-22.713.333.936.408.100;-47.628.485.038.876.500;5.394.368.896.484.370;2025-04-25T13:55:05Z
111;1;-22.713.461.676.612.400;-4.762.857.723.981.140;538.956.298.828.125;2025-04-25T13:55:10Z
112;1;-22.713.351.454.585.700;-47.628.686.372.190.700;5.379.949.951.171.870;2025-04-25T13:55:15Z
113;1;-22.713.286.746.293.300;-47.628.528.708.592.000;5.384.757.080.078.120;2025-04-25T13:55:20Z
114;1;-22.713.434.603.065.200;-4.762.850.490.398.700;5.384.757.080.078.120;2025-04-25T13:55:25Z
115;1;-22.713.422.365.486.600;-47.628.669.273.108.200;5.379.949.951.171.870;2025-04-25T13:55:30Z
116;1;-2.271.328.205.242.750;-47.628.598.194.569.300;5.379.949.951.171.870;2025-04-25T13:55:35Z
117;1;-2.271.337.098.442.010;-47.628.467.772.156;5.379.949.951.171.870;2025-04-25T13:55:40Z
118;1;-22.713.460.084.050.800;-47.628.605.486.825.100;5.379.949.951.171.870;2025-04-25T13:55:45Z
119;1;-22.713.321.363.553.400;-47.628.661.897.033.400;5.379.949.951.171.870;2025-04-25T13:55:50Z
120;1;-2.271.330.158.226.190;-47.628.495.935.350.600;5.384.757.080.078.120;2025-04-25T13:55:55Z
121;1;-22.713.445.499.539.300;-47.628.530.468.791.700;5.384.757.080.078.120;2025-04-25T13:56:00Z
122;1;-22.713.385.736.569.700;-47.628.666.004.166.000;5.384.757.080.078.120;2025-04-25T13:56:05Z
123;1;-22.713.276.520.371.400;-47.628.547.651.693.200;538.956.298.828.125;2025-04-25T13:56:10Z
124;1;-22.713.405.014.947.000;-47.628.463.245.928.200;5.394.368.896.484.370;2025-04-25T13:56:15Z
125;1;-22.713.452.205.061.900;-47.628.626.693.040.100;5.399.176.025.390.620;2025-04-25T13:56:20Z
126;1;-22.713.296.636.939.000;-47.628.626.106.306.900;54.087.890.625;2025-04-25T13:56:25Z
127;1;-22.713.340.055.197.400;-47.628.470.035.269.800;5.413.594.970.703.120;2025-04-25T13:56:30Z
128;1;-2.271.346.821.449.690;-47.628.558.464.348.300;54.087.890.625;2025-04-25T13:56:35Z
129;1;-22.713.361.848.145.700;-47.628.676.062.449.800;54.087.890.625;2025-04-25T13:56:40Z
130;1;-22.713.293.200.358.700;-47.628.527.283.668.500;54.087.890.625;2025-04-25T13:56:45Z
131;1;-22.713.441.727.682.900;-4.762.849.853.374.060;5.413.594.970.703.120;2025-04-25T13:56:50Z
132;1;-22.713.426.975.533.300;-47.628.663.992.509.200;5.413.594.970.703.120;2025-04-25T13:56:55Z
133;1;-22.713.285.405.188.700;-47.628.603.223.711.200;5.423.209.228.515.620;2025-04-25T13:57:00Z
134;1;-22.713.375.929.743.000;-476.284.712.087.363;542.801.513.671.875;2025-04-25T13:57:05Z
135;1;-22.713.468.046.858.900;-47.628.601.463.511.500;5.423.209.228.515.620;2025-04-25T13:57:10Z
136;1;-22.713.324.967.771.700;-47.628.660.807.386.000;542.801.513.671.875;2025-04-25T13:57:15Z
137;1;-22.713.312.562.555.000;-47.628.495.180.979.300;5.437.628.173.828.120;2025-04-25T13:57:20Z
138;1;-22.713.460.670.784.100;-47.628.517.728.298.900;5.437.628.173.828.120;2025-04-25T13:57:25Z
139;1;-22.713.393.867.015.800;-47.628.670.111.298.500;5.432.821.044.921.870;2025-04-25T13:57:30Z
140;1;-22.713.280.376.046.800;-47.628.559.721.633.700;5.437.628.173.828.120;2025-04-25T13:57:35Z
141;1;-22.713.407.697.156.000;-47.628.475.399.687.800;5.437.628.173.828.120;2025-04-25T13:57:40Z
142;1;-22.713.455.893.099.300;-4.762.863.147.072.490;5.437.628.173.828.120;2025-04-25T13:57:45Z
143;1;-22.713.305.689.394.400;-47.628.629.794.344.300;5.437.628.173.828.120;2025-04-25T13:57:50Z
144;1;-22.713.344.832.882.200;-47.628.474.477.678.500;5.437.628.173.828.120;2025-04-25T13:57:55Z
145;1;-22.713.474.333.286.200;-47.628.561.984.747.600;54.424.365.234.375;2025-04-25T13:58:00Z
146;1;-22.713.367.128.744.700;-47.628.670.195.117.500;5.447.242.431.640.620;2025-04-25T13:58:05Z
147;1;-22.713.294.122.368.000;-47.628.523.092.716.900;5.447.242.431.640.620;2025-04-25T13:58:10Z
148;1;-2.271.343.401.633.200;-47.628.491.157.665.800;5.447.242.431.640.620;2025-04-25T13:58:15Z
149;1;-22.713.426.640.257.200;-47.628.662.399.947.600;54.424.365.234.375;2025-04-25T13:58:20Z
150;1;-22.713.281.130.418.100;-47.628.603.810.444.400;5.437.628.173.828.120;2025-04-25T13:58:25Z
151;1;-22.713.365.703.821.100;-47.628.464.167.937.600;5.437.628.173.828.120;2025-04-25T13:58:30Z
152;1;-22.713.459.078.222.500;-47.628.596.015.274.500;54.424.365.234.375;2025-04-25T13:58:35Z
153;1;-22.713.321.531.191.400;-47.628.656.532.615.400;5.447.242.431.640.620;2025-04-25T13:58:40Z
154;1;-22.713.309.042.155.700;-47.628.497.360.274.100;545.204.833.984.375;2025-04-25T13:58:45Z
155;1;-22.713.450.863.957.400;-47.628.517.644.479.800;5.447.242.431.640.620;2025-04-25T13:58:50Z
156;1;-22.713.391.603.901.900;-47.628.672.542.050.400;54.424.365.234.375;2025-04-25T13:58:55Z
157;1;-22.713.277.107.104.600;-47.628.564.750.775.600;5.447.242.431.640.620;2025-04-25T13:59:00Z
158;1;-22.713.401.578.366.700;-47.628.468.861.803.400;5.447.242.431.640.620;2025-04-25T13:59:05Z
159;1;-22.713.451.534.509.600;-47.628.622.418.269.500;545.204.833.984.375;2025-04-25T13:59:10Z
160;1;-22.713.303.007.185.400;-47.628.636.667.504.900;5.447.242.431.640.620;2025-04-25T13:59:15Z
161;1;-22.713.331.757.113.300;-47.628.478.417.173.000;545.204.833.984.375;2025-04-25T13:59:20Z
162;1;-22.713.462.095.707.600;-4.762.855.569.832.020;545.685.546.875;2025-04-25T13:59:25Z
163;1;-22.713.359.668.850.800;-47.628.673.631.697.800;5.447.242.431.640.620;2025-04-25T13:59:30Z
164;1;-22.713.285.656.645.800;-4.762.852.443.382.140;545.204.833.984.375;2025-04-25T13:59:35Z
165;1;-22.713.432.591.408.400;-4.762.849.073.857.060;545.204.833.984.375;2025-04-25T13:59:40Z
166;1;-22.713.435.022.160.400;-47.628.657.538.443.800;545.204.833.984.375;2025-04-25T13:59:45Z
167;1;-22.713.299.486.786.100;-47.628.602.301.701.900;545.685.546.875;2025-04-25T13:59:50Z
168;1;-22.713.377.941.399.800;-47.628.470.119.088.800;545.204.833.984.375;2025-04-25T13:59:55Z
169;1;-22.713.472.908.362.700;-4.762.859.970.331.190;5.447.242.431.640.620;2025-04-25T14:00:00Z
170;1;-22.713.333.182.036.800;-47.628.661.058.843.100;545.204.833.984.375;2025-04-25T14:00:05Z
