ID,trksegID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Temperature,Depth,wtemp,hr,cad,
1025,1,-22.713358663022518,-47.628633650019765,545.204833984375,2025-04-25T15:11:20Z,,,,,,,,,,,,,,,,,,,,,
1026,1,-22.713358663022518,-47.628632979467511,545.204833984375,2025-04-25T15:11:25Z,,,,,,,,,,,,,,,,,,,,,
1027,1,-22.713358411565423,-47.628633147105575,545.204833984375,2025-04-25T15:11:30Z,,,,,,,,,,,,,,,,,,,,,
1028,1,-22.713358327746391,-47.628632811829448,545.204833984375,2025-04-25T15:11:35Z,,,,,,,,,,,,,,,,,,,,,
1029,1,-22.713357489556074,-47.628632392734289,545.204833984375,2025-04-25T15:11:40Z,,,,,,,,,,,,,,,,,,,,,
1030,1,-22.713357741013169,-47.628632225096226,545.204833984375,2025-04-25T15:11:45Z,,,,,,,,,,,,,,,,,,,,,
1031,1,-22.713351035490632,-47.628632141277194,544.7242431640625,2025-04-25T15:11:50Z,,,,,,,,,,,,,,,,,,,,,
1032,1,-22.713345838710666,-47.628633314743638,544.7242431640625,2025-04-25T15:11:55Z,,,,,,,,,,,,,,,,,,,,,
1033,1,-22.71334508433938,-47.628632308915257,544.7242431640625,2025-04-25T15:12:00Z,,,,,,,,,,,,,,,,,,,,,
1034,1,-22.713340474292636,-47.628627112135291,544.7242431640625,2025-04-25T15:12:05Z,,,,,,,,,,,,,,,,,,,,,
1035,1,-22.713337875902653,-47.628627028316259,544.7242431640625,2025-04-25T15:12:10Z,,,,,,,,,,,,,,,,,,,,,
1036,1,-22.713338797912002,-47.628626357764006,544.7242431640625,2025-04-25T15:12:15Z,,,,,,,,,,,,,,,,,,,,,
1037,1,-22.713353466242552,-47.62861437164247,543.7628173828125,2025-04-25T15:12:20Z,,,,,,,,,,,,,,,,,,,,,
1038,1,-22.713383054360747,-47.628600792959332,542.801513671875,2025-04-25T15:12:25Z,,,,,,,,,,,,,,,,,,,,,
