"ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad				"
"53	1	-22.713.355.729.356.400	-47.628.621.077.165.000	552.895.263.671.875	2025-04-25T12:11:46Z																								"
"54	1	-22.713.355.477.899.300	-47.628.621.160.984.000	552.895.263.671.875	2025-04-25T12:11:51Z																								"
"55	1	-22.713.355.394.080.200	-47.628.621.160.984.000	552.895.263.671.875	2025-04-25T12:11:56Z																								"
"56	1	-2.271.335.531.026.120	-47.628.621.077.165.000	552.895.263.671.875	2025-04-25T12:12:01Z																								"
"57	1	-22.713.355.226.442.200	-47.628.620.993.345.900	552.895.263.671.875	2025-04-25T12:12:06Z																								"
"58	1	-22.713.355.058.804.100	-47.628.621.077.165.000	552.895.263.671.875	2025-04-25T12:12:11Z																								"
"59	1	-22.713.354.891.166.000	-47.628.621.244.803.000	552.895.263.671.875	2025-04-25T12:12:16Z																								"
"60	1	-22.713.354.807.347.000	-47.628.621.244.803.000	552.895.263.671.875	2025-04-25T12:12:21Z																								"
"61	1	-22.713.354.807.347.000	-47.628.621.244.803.000	552.895.263.671.875	2025-04-25T12:12:26Z																								"
"62	1	-22.713.341.983.035.200	-47.628.611.270.338.200	552.895.263.671.875	2025-04-25T12:12:31Z																								"
"63	1	-227.133.216.150.105	-47.628.584.112.972.000	55.241.455.078.125	2025-04-25T12:12:36Z																								"
"64	1	-22.713.304.683.566.000	-47.628.551.842.644.800	551.453.369.140.625	2025-04-25T12:12:41Z																								"
"65	1	-22.713.305.186.480.200	-47.628.511.777.147.600	551.453.369.140.625	2025-04-25T12:12:46Z																								"
"66	1	-22.713.313.903.659.500	-47.628.484.452.143.300	55.097.265.625	2025-04-25T12:12:51Z																								"
"67	1	-22.713.339.468.464.200	-47.628.470.957.279.200	550.011.474.609.375	2025-04-25T12:12:56Z																								"
"68	1	-22.713.371.822.610.400	-4.762.846.534.140.400	54.953.076.171.875	2025-04-25T12:13:01Z																								"
"69	1	-22.713.400.656.357.400	-47.628.468.610.346.300	5.485.693.359.375	2025-04-25T12:13:06Z																								"
"70	1	-22.713.428.903.371.000	-47.628.475.986.421.100	5.480.888.671.875	2025-04-25T12:13:11Z																								"
"71	1	-2.271.344.717.592.000	-47.628.497.695.550.300	547.608.154.296.875	2025-04-25T12:13:16Z																								"
"72	1	-22.713.460.922.241.200	-47.628.532.899.543.600	5.480.888.671.875	2025-04-25T12:13:21Z																								"
"73	1	-22.713.462.598.621.800	-47.628.571.204.841.100	5.480.888.671.875	2025-04-25T12:13:26Z																								"
"74	1	-22.713.445.834.815.500	-47.628.608.839.586.300	5.480.888.671.875	2025-04-25T12:13:31Z																								"
"75	1	-22.713.431.920.856.200	-47.628.633.230.924.600	5.480.888.671.875	2025-04-25T12:13:36Z																								"
"76	1	-22.713.400.153.443.200	-47.628.652.676.939.900	5.485.693.359.375	2025-04-25T12:13:41Z																								"
"77	1	-22.713.366.542.011.400	-47.628.653.347.492.200	547.608.154.296.875	2025-04-25T12:13:46Z																								"
"78	1	-2.271.333.284.676.070	-47.628.650.832.921.200	54.712.744.140.625	2025-04-25T12:13:51Z																								"
"79	1	-2.271.331.038.326.020	-47.628.632.644.191.300	54.712.744.140.625	2025-04-25T12:13:56Z																								"
"80	1	-22.713.295.044.377.400	-47.628.605.235.368.000	54.712.744.140.625	2025-04-25T12:14:01Z																								"
"81	1	-22.713.286.830.112.300	-47.628.576.485.440.100	547.608.154.296.875	2025-04-25T12:14:06Z																								"
"82	1	-22.713.281.800.970.400	-47.628.530.049.696.500	54.712.744.140.625	2025-04-25T12:14:11Z																								"
"83	1	-22.713.299.235.329.000	-47.628.497.108.817.100	54.712.744.140.625	2025-04-25T12:14:16Z																								"
"84	1	-22.713.322.704.657.900	-47.628.470.454.365.000	5.466.468.505.859.370	2025-04-25T12:14:21Z																								"
"85	1	-22.713.357.154.279.900	-47.628.460.060.805.000	545.685.546.875	2025-04-25T12:14:26Z																								"
"86	1	-22.713.388.586.416.800	-47.628.463.497.385.300	545.204.833.984.375	2025-04-25T12:14:31Z																								"
"87	1	-22.713.419.683.277.600	-47.628.465.676.680.200	545.204.833.984.375	2025-04-25T12:14:36Z																								"
"88	1	-22.713.437.285.274.200	-47.628.491.157.665.800	5.447.242.431.640.620	2025-04-25T12:14:41Z																								"
"89	1	-22.713.454.468.175.700	-47.628.523.092.716.900	545.204.833.984.375	2025-04-25T12:14:46Z																								"
"90	1	-22.713.460.754.603.100	-47.628.567.852.079.800	546.166.259.765.625	2025-04-25T12:14:51Z																								"
"91	1	-22.713.451.618.328.600	-4.762.860.557.064.410	546.166.259.765.625	2025-04-25T12:14:56Z																								"
"92	1	-22.713.444.409.891.900	-47.628.631.806.001.000	546.166.259.765.625	2025-04-25T12:15:01Z																								"
"93	1	-22.713.421.108.201.100	-47.628.651.335.835.400	546.166.259.765.625	2025-04-25T12:15:06Z																								"
"94	1	-22.713.386.323.302.900	-4.762.865.879.572.920	545.685.546.875	2025-04-25T12:15:11Z																								"
"95	1	-22.713.349.359.109.900	-4.762.866.323.813.790	546.166.259.765.625	2025-04-25T12:15:16Z																								"
"96	1	-22.713.315.160.945.000	-47.628.645.719.960.300	5.466.468.505.859.370	2025-04-25T12:15:21Z																								"
"97	1	-2.271.329.521.201.550	-47.628.620.741.888.800	546.166.259.765.625	2025-04-25T12:15:26Z																								"
"98	1	-22.713.291.859.254.200	-47.628.595.260.903.200	546.166.259.765.625	2025-04-25T12:15:31Z																								"
"99	1	-22.713.287.333.026.500	-47.628.538.683.056.800	545.685.546.875	2025-04-25T12:15:36Z																								"
"100	1	-22.713.298.313.319.600	-47.628.505.825.996.300	545.204.833.984.375	2025-04-25T12:15:41Z																								"
"101	1	-22.713.316.334.411.500	-47.628.481.183.201.000	545.204.833.984.375	2025-04-25T12:15:46Z																								"
"102	1	-22.713.349.694.386.100	-47.628.472.968.935.900	5.447.242.431.640.620	2025-04-25T12:15:51Z																								"
"103	1	-22.713.377.941.399.800	-4.762.847.070.582.210	5.437.628.173.828.120	2025-04-25T12:15:56Z																								"
"104	1	-22.713.413.061.574.100	-47.628.475.651.144.900	5.437.628.173.828.120	2025-04-25T12:16:01Z																								"
"105	1	-22.713.430.160.656.500	-4.762.849.660.590.290	5.437.628.173.828.120	2025-04-25T12:16:06Z																								"
"106	1	-227.134.511.154.145	-47.628.529.630.601.400	54.424.365.234.375	2025-04-25T12:16:11Z																								"
"107	1	-22.713.451.366.871.500	-4.762.856.257.148.080	54.424.365.234.375	2025-04-25T12:16:16Z																								"
"108	1	-22.713.457.150.384.700	-47.628.596.434.369.600	5.447.242.431.640.620	2025-04-25T12:16:21Z																								"
"109	1	-22.713.442.649.692.200	-47.628.630.632.534.600	5.447.242.431.640.620	2025-04-25T12:16:26Z																								"
"110	1	-22.713.417.336.344.700	-47.628.657.706.081.800	545.204.833.984.375	2025-04-25T12:16:31Z																								"
"111	1	-22.713.386.155.664.900	-47.628.669.440.746.300	545.204.833.984.375	2025-04-25T12:16:36Z																								"
"112	1	-22.713.356.735.184.700	-47.628.667.764.365.600	5.447.242.431.640.620	2025-04-25T12:16:41Z																								"
"113	1	-22.713.361.429.050.500	-47.628.671.284.765.000	545.204.833.984.375	2025-04-25T12:16:46Z																								"
"114	1	-22.713.361.848.145.700	-47.628.671.200.945.900	545.204.833.984.375	2025-04-25T12:16:51Z																								"
"115	1	-2.271.336.411.125.950	-47.628.666.255.623.100	5.447.242.431.640.620	2025-04-25T12:16:56Z																								"
"116	1	-22.713.368.134.573.100	-47.628.665.585.070.800	5.447.242.431.640.620	2025-04-25T12:17:01Z																								"
"117	1	-22.713.367.799.296.900	-47.628.667.512.908.500	5.447.242.431.640.620	2025-04-25T12:17:06Z																								"
"118	1	-22.713.365.368.545.000	-47.628.672.206.774.300	5.447.242.431.640.620	2025-04-25T12:17:11Z																								"
"119	1	-22.713.365.284.726.000	-47.628.674.134.612.000	5.447.242.431.640.620	2025-04-25T12:17:16Z																								"
"120	1	-22.713.367.380.201.800	-47.628.675.056.621.400	5.447.242.431.640.620	2025-04-25T12:17:21Z																								"
"121	1	-22.713.368.637.487.200	-4.762.867.346.405.980	5.447.242.431.640.620	2025-04-25T12:17:26Z																								"
"122	1	-22.713.368.469.849.200	-4.762.867.346.405.980	5.447.242.431.640.620	2025-04-25T12:17:31Z																								"
"123	1	-22.713.368.302.211.100	-4.762.867.346.405.980	5.447.242.431.640.620	2025-04-25T12:17:36Z																								"
"124	1	-22.713.368.469.849.200	-47.628.673.799.335.900	5.447.242.431.640.620	2025-04-25T12:17:41Z																								"
"125	1	-22.713.368.721.306.300	-4.762.867.346.405.980	5.447.242.431.640.620	2025-04-25T12:17:46Z																								"
"126	1	-22.713.368.888.944.300	-4.762.867.346.405.980	5.447.242.431.640.620	2025-04-25T12:17:51Z																								"
"127	1	-22.713.368.972.763.400	-47.628.673.547.878.800	5.447.242.431.640.620	2025-04-25T12:17:56Z																								"
"128	1	-22.713.369.056.582.400	-47.628.673.715.516.900	5.447.242.431.640.620	2025-04-25T12:18:01Z																								"
"129	1	-22.713.369.140.401.400	-47.628.673.799.335.900	5.447.242.431.640.620	2025-04-25T12:18:06Z																								"
"130	1	-22.713.369.308.039.500	-47.628.673.799.335.900	5.447.242.431.640.620	2025-04-25T12:18:11Z																								"
"131	1	-22.713.369.308.039.500	-47.628.673.883.154.900	5.447.242.431.640.620	2025-04-25T12:18:16Z																								"
"132	1	-22.713.369.224.220.500	-47.628.674.386.069.100	5.447.242.431.640.620	2025-04-25T12:18:21Z																								"
"133	1	-22.713.368.972.763.400	-47.628.674.386.069.100	5.447.242.431.640.620	2025-04-25T12:18:26Z																								"
"134	1	-22.713.368.972.763.400	-47.628.674.218.431.100	5.447.242.431.640.620	2025-04-25T12:18:31Z																								"
"135	1	-22.713.346.593.081.900	-4.762.866.323.813.790	5.447.242.431.640.620	2025-04-25T12:18:36Z																								"
"136	1	-22.713.321.698.829.500	-47.628.629.878.163.300	5.447.242.431.640.620	2025-04-25T12:18:41Z																								"
"137	1	-22.713.303.426.280.600	-47.628.606.073.558.300	54.424.365.234.375	2025-04-25T12:18:46Z																								"
"138	1	-22.713.297.475.129.300	-47.628.563.996.404.400	5.437.628.173.828.120	2025-04-25T12:18:51Z																								"
"139	1	-22.713.304.599.747.000	-47.628.504.736.348.900	5.432.821.044.921.870	2025-04-25T12:18:56Z																								"
"140	1	-22.713.366.374.373.400	-47.628.471.292.555.300	542.801.513.671.875	2025-04-25T12:19:01Z																								"
"141	1	-22.713.446.421.548.700	-47.628.509.094.938.600	5.432.821.044.921.870	2025-04-25T12:19:06Z																								"
"142	1	-22.713.446.589.186.700	-47.628.630.129.620.400	5.437.628.173.828.120	2025-04-25T12:19:11Z																								"
"143	1	-22.713.339.049.369.000	-47.628.664.495.423.400	5.437.628.173.828.120	2025-04-25T12:19:16Z																								"
"144	1	-22.713.293.451.815.800	-47.628.545.807.674.500	54.424.365.234.375	2025-04-25T12:19:21Z																								"
"145	1	-2.271.339.881.233.870	-4.762.848.436.832.420	5.437.628.173.828.120	2025-04-25T12:19:26Z																								"
"146	1	-22.713.446.002.453.500	-47.628.629.626.706.200	54.424.365.234.375	2025-04-25T12:19:31Z																								"
"147	1	-22.713.305.521.756.400	-47.628.644.797.950.900	5.437.628.173.828.120	2025-04-25T12:19:36Z																								"
"148	1	-22.713.334.187.865.200	-4.762.849.124.148.480	5.437.628.173.828.120	2025-04-25T12:19:41Z																								"
"149	1	-22.713.460.251.688.900	-47.628.560.224.547.900	5.437.628.173.828.120	2025-04-25T12:19:46Z																								"
"150	1	-22.713.359.417.393.800	-47.628.672.458.231.400	54.424.365.234.375	2025-04-25T12:19:51Z																								"
"151	1	-22.713.282.722.979.700	-47.628.512.950.614.000	5.437.628.173.828.120	2025-04-25T12:19:56Z																								"
"152	1	-22.713.417.252.525.600	-47.628.471.292.555.300	5.432.821.044.921.870	2025-04-25T12:20:01Z																								"
"153	1	-22.713.420.270.010.800	-47.628.631.722.182.000	5.437.628.173.828.120	2025-04-25T12:20:06Z																								"
"154	1	-22.713.289.260.864.200	-4.762.859.869.748.350	54.424.365.234.375	2025-04-25T12:20:11Z																								"
"155	1	-22.713.363.608.345.300	-47.628.470.873.460.100	5.437.628.173.828.120	2025-04-25T12:20:16Z																								"
"156	1	-22.713.455.390.185.100	-47.628.584.112.972.000	54.424.365.234.375	2025-04-25T12:20:21Z																								"
"157	1	-22.713.326.225.057.200	-47.628.655.107.691.800	54.424.365.234.375	2025-04-25T12:20:26Z																								"
"158	1	-22.713.297.642.767.400	-47.628.493.588.417.700	54.424.365.234.375	2025-04-25T12:20:31Z																								"
"159	1	-22.713.440.135.121.300	-47.628.509.178.757.600	5.437.628.173.828.120	2025-04-25T12:20:36Z																								"
"160	1	-22.713.398.644.700.600	-47.628.661.226.481.100	54.424.365.234.375	2025-04-25T12:20:41Z																								"
"161	1	-22.713.286.411.017.100	-47.628.581.346.943.900	54.424.365.234.375	2025-04-25T12:20:46Z																								"
"162	1	-22.713.393.867.015.800	-47.628.464.084.118.600	54.424.365.234.375	2025-04-25T12:20:51Z																								"
"163	1	-22.713.446.840.643.800	-47.628.617.808.222.700	54.424.365.234.375	2025-04-25T12:20:56Z																								"
"164	1	-22.713.308.203.965.400	-47.628.637.505.695.200	5.447.242.431.640.620	2025-04-25T12:21:01Z																								"
"165	1	-22.713.326.392.695.300	-4.762.847.900.390.620	54.424.365.234.375	2025-04-25T12:21:06Z																								"
"166	1	-22.713.458.072.394.100	-47.628.546.226.769.600	54.424.365.234.375	2025-04-25T12:21:11Z																								"
"167	1	-22.713.364.781.811.800	-47.628.661.980.852.400	5.447.242.431.640.620	2025-04-25T12:21:16Z																								"
"168	1	-22.713.286.578.655.200	-47.628.533.989.191.000	5.447.242.431.640.620	2025-04-25T12:21:21Z																								"
"169	1	-22.713.426.724.076.200	-47.628.475.734.964.000	54.424.365.234.375	2025-04-25T12:21:26Z																								"
"170	1	-22.713.437.620.550.300	-47.628.632.476.553.300	5.447.242.431.640.620	2025-04-25T12:21:31Z																								"
"171	1	-2.271.329.328.417.770	-47.628.603.642.806.400	5.447.242.431.640.620	2025-04-25T12:21:36Z																								"
"172	1	-22.713.359.585.031.800	-4.762.846.483.848.980	54.424.365.234.375	2025-04-25T12:21:41Z																								"
"173	1	-22.713.456.898.927.600	-4.762.857.723.981.140	5.447.242.431.640.620	2025-04-25T12:21:46Z																								"
"174	1	-22.713.333.098.217.800	-47.628.660.975.024.100	545.204.833.984.375	2025-04-25T12:21:51Z																								"
"175	1	-22.713.285.321.369.700	-47.628.498.952.835.700	545.685.546.875	2025-04-25T12:21:56Z																								"
"176	1	-22.713.434.770.703.300	-47.628.500.210.121.200	545.204.833.984.375	2025-04-25T12:22:01Z																								"
"177	1	-22.713.395.291.939.300	-4.762.864.756.397.900	546.166.259.765.625	2025-04-25T12:22:06Z																								"
"178	1	-2.271.327.375.434.330	-47.628.564.583.137.600	546.166.259.765.625	2025-04-25T12:22:11Z																								"
"179	1	-22.713.383.892.551.000	-47.628.464.670.851.800	545.685.546.875	2025-04-25T12:22:16Z																								"
"180	1	-22.713.447.259.739.000	-47.628.613.114.356.900	545.685.546.875	2025-04-25T12:22:21Z																								"
"181	1	-22.713.307.198.137.000	-47.628.644.378.855.800	545.685.546.875	2025-04-25T12:22:26Z																								"
"182	1	-22.713.320.357.725.000	-47.628.485.625.609.700	545.204.833.984.375	2025-04-25T12:22:31Z																								"
"183	1	-22.713.452.372.699.900	-47.628.541.616.722.900	5.447.242.431.640.620	2025-04-25T12:22:36Z																								"
"184	1	-22.713.371.738.791.400	-47.628.666.926.175.300	5.447.242.431.640.620	2025-04-25T12:22:41Z																								"
"185	1	-22.713.280.878.961.000	-47.628.546.394.407.700	54.424.365.234.375	2025-04-25T12:22:46Z																								"
"186	1	-22.713.419.180.363.400	-4.762.848.973.274.230	54.424.365.234.375	2025-04-25T12:22:51Z																								"
"187	1	-22.713.434.267.789.100	-47.628.647.815.436.100	54.424.365.234.375	2025-04-25T12:22:56Z																								"
"188	1	-22.713.286.411.017.100	-47.628.621.077.165.000	54.424.365.234.375	2025-04-25T12:23:01Z																								"
"189	1	-22.713.353.047.147.300	-4.762.847.556.732.590	5.432.821.044.921.870	2025-04-25T12:23:06Z																								"
"190	1	-22.713.463.101.536.000	-4.762.857.330.031.690	5.432.821.044.921.870	2025-04-25T12:23:11Z																								"
"191	1	-22.713.343.240.320.600	-47.628.665.082.156.600	5.437.628.173.828.120	2025-04-25T12:23:16Z																								"
"192	1	-22.713.297.558.948.300	-47.628.509.849.309.900	5.432.821.044.921.870	2025-04-25T12:23:21Z																								"
"193	1	-22.713.440.973.311.600	-47.628.508.172.929.200	542.801.513.671.875	2025-04-25T12:23:26Z																								"
