latitude,longitude,angle_deg
-22.713356741532635,-47.62847170003193,74.5
-22.713357515245857,-47.628471471359475,75.0
-22.71335829077038,-47.6284712500152,75.5
-22.713359068047144,-47.628471036015966,76.0
-22.71335984701696,-47.628470829378074,76.5
-22.713360627620503,-47.62847063011725,77.0
-22.713361409798324,-47.62847043824868,77.5
-22.713362193490866,-47.62847025378696,78.0
-22.71336297863844,-47.62847007674615,78.5
-22.713363765181256,-47.628469907139724,79.0
-22.713364553059417,-47.628469744980606,79.5
-22.713365342212924,-47.62846959028114,80.0
-22.713366132581676,-47.62846944305312,80.5
-22.713366924105486,-47.62846930330774,81.0
-22.71336771672408,-47.62846917105564,81.5
-22.713368510377087,-47.62846904630691,82.0
-22.713369305004075,-47.62846892907104,82.5
-22.71337010054453,-47.62846881935696,83.0
-22.713370896937867,-47.62846871717302,83.5
-22.71337169412344,-47.62846862252701,84.0
-22.71337249204053,-47.62846853542613,84.5
-22.713373290628386,-47.62846845587702,85.0
-22.713374089826186,-47.628468383885725,85.5
-22.713374889573068,-47.628468319457745,86.0
-22.713375689808128,-47.62846826259798,86.5
-22.713376490470427,-47.62846821331075,87.0
-22.71337729149899,-47.62846817159982,87.5
-22.713378092832816,-47.62846813746836,88.0
-22.71337889441088,-47.62846811091898,88.5
-22.713379696172137,-47.628468091953685,89.0
-22.713380498055535,-47.62846808057394,89.5
-22.7133813,-47.62846807678059,90.0
-22.713382101944468,-47.62846808057394,90.5
-22.713382903827867,-47.628468091953685,91.0
-22.713383705589123,-47.62846811091898,91.5
-22.713384507167188,-47.62846813746836,92.0
-22.713385308501014,-47.62846817159982,92.5
-22.713386109529576,-47.62846821331075,93.0
-22.713386910191876,-47.62846826259798,93.5
-22.713387710426936,-47.628468319457745,94.0
-22.713388510173818,-47.628468383885725,94.5
-22.713389309371617,-47.62846845587702,95.0
-22.713390107959473,-47.62846853542613,95.5
-22.713390905876565,-47.62846862252701,96.0
-22.713391703062136,-47.62846871717302,96.5
-22.713392499455473,-47.62846881935696,97.0
-22.713393294995928,-47.62846892907104,97.5
-22.713394089622916,-47.62846904630691,98.0
-22.713394883275924,-47.62846917105564,98.5
-22.713395675894517,-47.62846930330774,99.0
-22.713396467418328,-47.62846944305312,99.5
-22.71339725778708,-47.62846959028114,100.0
-22.713398046940586,-47.628469744980606,100.5
-22.713398834818747,-47.628469907139724,101.0
-22.713399621361564,-47.62847007674615,101.5
-22.713400406509137,-47.62847025378696,102.0
-22.71340119020168,-47.62847043824868,102.5
-22.7134019723795,-47.62847063011725,103.0
-22.713402752983043,-47.628470829378074,103.5
-22.71340353195286,-47.628471036015966,104.0
-22.713404309229624,-47.6284712500152,104.5
-22.713405084754147,-47.628471471359475,105.0
-22.713405858467368,-47.62847170003193,105.5
-22.71340663031037,-47.62847193601515,106.0
-22.713407400224366,-47.62847217929118,106.5
-22.713408168150732,-47.62847242984147,107.0
-22.713408934030983,-47.62847268764696,107.5
-22.713409697806796,-47.62847295268801,108.0
-22.713410459420007,-47.62847322494442,108.5
-22.713411218812613,-47.62847350439549,109.0
-22.71341197592679,-47.62847379101991,109.5
-22.713412730704874,-47.62847408479586,110.0
-22.713413483089386,-47.628474385700976,110.5
-22.713414233023034,-47.628474693712334,111.0
-22.713414980448704,-47.62847500880648,111.5
-22.713415725309474,-47.628475330959425,112.0
-22.71341646754863,-47.62847566014663,112.5
-22.713417207109636,-47.62847599634301,113.0
-22.71341794393618,-47.628476339523,113.5
-22.713418677972143,-47.62847668966043,114.0
-22.71341940916163,-47.628477046728655,114.5
-22.713420137448956,-47.62847741070048,115.0
-22.713420862778662,-47.62847778154818,115.5
-22.713421585095507,-47.62847815924352,116.0
-22.713422304344487,-47.62847854375774,116.5
-22.713423020470827,-47.628478935061544,117.0
-22.713423733419994,-47.62847933312515,117.5
-22.71342444313769,-47.62847973791823,118.0
-22.71342514956987,-47.62848014940997,118.5
-22.71342585266273,-47.628480567569014,119.0
-22.713426552362737,-47.628480992363535,119.5
-22.713427248616604,-47.62848142376119,120.0
-22.7134279413713,-47.6284818617291,120.5
-22.71342863057408,-47.62848230623393,121.0
-22.71342931617245,-47.62848275724183,121.5
-22.713429998114204,-47.62848321471844,122.0
-22.71343067634741,-47.628483678628946,122.5
-22.713431350820414,-47.62848414893799,123.0
-22.713432021481854,-47.62848462560979,123.5
-22.71343268828066,-47.62848510860801,124.0
-22.713433351166042,-47.62848559789589,124.5
-22.713434010087532,-47.62848609343616,125.0
-22.713434664994942,-47.62848659519109,125.5
-22.713435315838403,-47.62848710312246,126.0
-22.71343596256835,-47.6284876171916,126.5
-22.713436605135527,-47.628488137359355,127.0
-22.713437243491008,-47.62848866358611,127.5
-22.713437877586173,-47.6284891958318,128.0
-22.713438507372736,-47.628489734055876,128.5
-22.713439132802737,-47.62849027821737,129.0
-22.713439753828546,-47.62849082827483,129.5
