ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad
54	1	-22.713.477.518.409.400	-47.628.646.641.969.600	5.423.209.228.515.620	2025-04-25T18:52:19Z																				
55	1	-22.713.395.208.120.300	-47.628.658.125.177.000	5.418.402.099.609.370	2025-04-25T18:52:24Z																				
56	1	-22.713.334.020.227.100	-47.628.598.110.750.300	5.418.402.099.609.370	2025-04-25T18:52:29Z																				
57	1	-22.713.351.370.766.700	-47.628.509.597.852.800	5.413.594.970.703.120	2025-04-25T18:52:34Z																				
58	1	-22.713.426.556.438.200	-47.628.458.216.786.300	5.413.594.970.703.120	2025-04-25T18:52:39Z																				
59	1	-22.713.502.999.395.100	-47.628.498.701.378.700	5.418.402.099.609.370	2025-04-25T18:52:44Z																				
60	1	-22.713.524.205.610.100	-47.628.580.760.210.700	5.423.209.228.515.620	2025-04-25T18:52:49Z																				
61	1	-22.713.475.422.933.600	-47.628.651.922.568.600	5.418.402.099.609.370	2025-04-25T18:52:54Z																				
62	1	-22.713.385.736.569.700	-47.628.645.384.684.200	5.423.209.228.515.620	2025-04-25T18:52:59Z																				
63	1	-2.271.333.385.258.910	-47.628.574.892.878.500	5.423.209.228.515.620	2025-04-25T18:53:04Z																				
64	1	-22.713.361.093.774.400	-47.628.494.761.884.200	5.418.402.099.609.370	2025-04-25T18:53:09Z																				
65	1	-22.713.438.794.016.800	-47.628.460.815.176.300	5.418.402.099.609.370	2025-04-25T18:53:14Z																				
66	1	-22.713.510.962.203.100	-47.628.508.675.843.400	5.418.402.099.609.370	2025-04-25T18:53:19Z																				
67	1	-22.713.515.488.430.800	-47.628.597.859.293.200	5.413.594.970.703.120	2025-04-25T18:53:24Z																				
68	1	-22.713.451.953.604.800	-47.628.650.078.549.900	5.413.594.970.703.120	2025-04-25T18:53:29Z																				
69	1	-22.713.368.386.030.100	-47.628.632.225.096.200	5.418.402.099.609.370	2025-04-25T18:53:34Z																				
70	1	-22.713.331.589.475.200	-47.628.554.608.672.800	5.413.594.970.703.120	2025-04-25T18:53:39Z																				
71	1	-22.713.374.504.819.500	-47.628.481.015.563.000	5.413.594.970.703.120	2025-04-25T18:53:44Z																				
72	1	-22.713.459.581.136.700	-47.628.473.974.764.300	5.413.594.970.703.120	2025-04-25T18:53:49Z																				
73	1	-22.713.521.607.220.100	-47.628.534.575.924.200	5.423.209.228.515.620	2025-04-25T18:53:54Z																				
74	1	-22.713.510.794.565.000	-47.628.622.250.631.400	5.423.209.228.515.620	2025-04-25T18:53:59Z																				
75	1	-22.713.437.369.093.200	-47.628.668.015.822.700	5.423.209.228.515.620	2025-04-25T18:54:04Z																				
76	1	-22.713.349.694.386.100	-47.628.631.806.001.000	5.423.209.228.515.620	2025-04-25T18:54:09Z																				
77	1	-2.271.332.991.309.460	-47.628.545.807.674.500	542.801.513.671.875	2025-04-25T18:54:14Z																				
78	1	-22.713.385.820.388.700	-47.628.469.783.812.700	5.418.402.099.609.370	2025-04-25T18:54:19Z																				
79	1	-22.713.470.058.515.600	-47.628.471.711.650.400	5.418.402.099.609.370	2025-04-25T18:54:24Z																				
80	1	-22.713.522.110.134.300	-47.628.542.874.008.400	542.801.513.671.875	2025-04-25T18:54:29Z																				
81	1	-22.713.499.730.452.800	-47.628.635.410.219.400	5.423.209.228.515.620	2025-04-25T18:54:34Z																				
82	1	-22.713.417.923.077.900	-47.628.662.902.861.800	5.418.402.099.609.370	2025-04-25T18:54:39Z																				
83	1	-2.271.334.801.800.540	-47.628.621.580.079.100	5.423.209.228.515.620	2025-04-25T18:54:44Z																				
84	1	-22.713.345.251.977.400	-47.628.538.431.599.700	5.418.402.099.609.370	2025-04-25T18:54:49Z																				
85	1	-22.713.408.451.527.300	-47.628.473.807.126.200	5.423.209.228.515.620	2025-04-25T18:54:54Z																				
86	1	-22.713.485.900.312.600	-47.628.481.015.563.000	5.423.209.228.515.620	2025-04-25T18:54:59Z																				
87	1	-22.713.525.714.352.700	-47.628.563.661.128.200	5.437.628.173.828.120	2025-04-25T18:55:04Z																				
88	1	-2.271.348.875.015.970	-47.628.651.419.654.400	5.432.821.044.921.870	2025-04-25T18:55:09Z																				
89	1	-22.713.399.985.805.100	-47.628.669.105.470.100	5.432.821.044.921.870	2025-04-25T18:55:14Z																				
90	1	-22.713.337.372.988.400	-47.628.609.510.138.600	542.801.513.671.875	2025-04-25T18:55:19Z																				
91	1	-22.713.350.281.119.300	-47.628.512.447.699.900	5.423.209.228.515.620	2025-04-25T18:55:24Z																				
92	1	-22.713.417.168.706.600	-4.762.846.190.482.370	5.423.209.228.515.620	2025-04-25T18:55:29Z																				
93	1	-22.713.495.790.958.400	-47.628.500.629.216.400	5.432.821.044.921.870	2025-04-25T18:55:34Z																				
94	1	-22.713.520.098.477.600	-47.628.579.586.744.300	5.437.628.173.828.120	2025-04-25T18:55:39Z																				
95	1	-22.713.469.052.687.200	-47.628.651.671.111.500	5.432.821.044.921.870	2025-04-25T18:55:44Z																				
96	1	-22.713.384.227.827.100	-47.628.651.754.930.600	5.432.821.044.921.870	2025-04-25T18:55:49Z																				
97	1	-22.713.329.326.361.400	-47.628.585.370.257.400	5.432.821.044.921.870	2025-04-25T18:55:54Z																				
98	1	-22.713.353.130.966.400	-47.628.498.114.645.400	542.801.513.671.875	2025-04-25T18:55:59Z																				
99	1	-22.713.431.250.303.900	-47.628.459.809.347.900	5.423.209.228.515.620	2025-04-25T18:56:04Z																				
