ID;lat;lon;ele;time;magvar;geoidheight;name;cmt;desc;src;sym;type;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;Proximity;Temperature;Depth;DisplayMode;Samples;Expiration;CreationTime;;;
17;-21.962.074.935.436.200;-47.469.005.165.621.600;640.839.599.609.375;2025-04-26T19:43:27Z;;;17;10/21/2014 15:17;10/21/2014 15:17;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
18;-21.962.141.152.471.300;-47.469.040.369.614.900;64.011.865.234.375;2025-04-26T19:43:27Z;;;18;10/21/2014 15:18;10/21/2014 15:18;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
19;-21.962.207.118.049.200;-47.469.080.938.026.300;63.963.818.359.375;2025-04-26T19:43:27Z;;;19;10/21/2014 15:19;10/21/2014 15:19;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
20;-21.962.272.664.532.000;-47.469.113.040.715.400;6.386.767.578.125;2025-04-26T19:43:27Z;;;20;10/21/2014 15:20;10/21/2014 15:20;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
21;-21.962.319.938.465.900;-47.469.140.198.081.700;638.917.236.328.125;2025-04-26T19:43:27Z;;;21;10/21/2014 15:21;10/21/2014 15:21;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
22;-21.962.282.052.263.600;-47.469.202.559.441.300;640.359.130.859.375;2025-04-26T19:43:27Z;;;22;10/21/2014 15:24;10/21/2014 15:24;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
23;-21.962.223.881.855.600;-47.469.172.133.132.800;63.987.841.796.875;2025-04-26T19:43:27Z;;;23;10/21/2014 15:25;10/21/2014 15:25;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
24;-21.962.161.352.857.900;-47.469.142.461.195.500;63.963.818.359.375;2025-04-26T19:43:27Z;;;24;10/21/2014 15:25;10/21/2014 15:25;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
25;-21.962.087.005.376.800;-47.469.118.991.866.700;64.011.865.234.375;2025-04-26T19:43:27Z;;;25;10/21/2014 15:26;10/21/2014 15:26;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
26;-21.962.026.068.940.700;-4.746.907.901.018.850;64.011.865.234.375;2025-04-26T19:43:27Z;;;26;10/21/2014 15:28;10/21/2014 15:28;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
27;-21.961.969.910.189.500;-47.469.051.769.003.200;641.560.791.015.625;2025-04-26T19:43:27Z;;;27;10/21/2014 15:29;10/21/2014 15:29;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
28;-21.961.949.123.069.600;-47.469.112.202.525.100;642.762.451.171.875;2025-04-26T19:43:27Z;;;28;10/21/2014 15:30;10/21/2014 15:30;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
29;-21.962.009.556.591.500;-47.469.144.891.947.500;641.560.791.015.625;2025-04-26T19:43:27Z;;;29;10/21/2014 15:31;10/21/2014 15:31;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
30;-21.962.071.750.313.000;-47.469.182.275.235.600;641.801.025.390.625;2025-04-26T19:43:27Z;;;30;10/21/2014 15:32;10/21/2014 15:32;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
31;-21.962.135.788.053.200;-47.469.221.586.361.500;641.080.078.125;2025-04-26T19:43:27Z;;;31;10/21/2014 15:33;10/21/2014 15:33;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
32;-21.962.193.623.185.100;-47.469.255.281.612.200;64.011.865.234.375;2025-04-26T19:43:27Z;;;32;10/21/2014 15:34;10/21/2014 15:34;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
33;-21.962.249.865.755.400;-47.469.283.947.721.100;63.963.818.359.375;2025-04-26T19:43:27Z;;;33;10/21/2014 15:35;10/21/2014 15:35;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
34;-21.962.203.262.373.800;-47.469.345.973.804.500;64.011.865.234.375;2025-04-26T19:43:27Z;;;34;10/21/2014 15:35;10/21/2014 15:35;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
35;-21.962.137.464.433.900;-47.469.315.296.038.900;640.599.365.234.375;2025-04-26T19:43:27Z;;;35;10/21/2014 15:37;10/21/2014 15:37;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
36;-21.962.069.822.475.300;-47.469.284.869.730.400;64.011.865.234.375;2025-04-26T19:43:27Z;;;36;10/21/2014 15:37;10/21/2014 15:37;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
37;-2.196.199.924.685.060;-47.469.251.174.479.700;640.839.599.609.375;2025-04-26T19:43:27Z;;;37;10/21/2014 15:38;10/21/2014 15:38;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
38;-21.961.946.021.765.400;-47.469.214.964.658.000;641.080.078.125;2025-04-26T19:43:27Z;;;38;10/21/2014 15:39;10/21/2014 15:39;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
39;-21.961.907.129.734.700;-47.469.186.130.911.100;64.228.173.828.125;2025-04-26T19:43:27Z;;;39;10/21/2014 15:41;10/21/2014 15:41;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
40;-21.961.878.798.902.000;-4.746.925.100.684.160;64.252.197.265.625;2025-04-26T19:43:27Z;;;40;10/21/2014 15:43;10/21/2014 15:43;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
41;-21.961.942.669.004.200;-47.469.294.173.642.900;642.041.259.765.625;2025-04-26T19:43:27Z;;;41;10/21/2014 15:43;10/21/2014 15:43;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
