ID;trksegID;lat;lon;ele;time;magvar;geoidheight;name;cmt;desc;src;sym;type;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;Temperature;Depth;wtemp;hr;cad
102;1;-22.713.331.505.656.200;-47.628.656.700.253.400;542.801.513.671.875;2025-04-23T13:57:36Z;;;;;;;;;;;;;;;;;;;;
103;1;-22.713.331.505.656.200;-47.628.656.448.796.300;542.801.513.671.875;2025-04-23T13:57:41Z;;;;;;;;;;;;;;;;;;;;
104;1;-22.713.331.589.475.200;-4.762.865.636.497.730;542.801.513.671.875;2025-04-23T13:57:46Z;;;;;;;;;;;;;;;;;;;;
105;1;-22.713.331.840.932.300;-4.762.865.636.497.730;542.801.513.671.875;2025-04-23T13:57:51Z;;;;;;;;;;;;;;;;;;;;
106;1;-22.713.331.757.113.300;-47.628.656.197.339.200;542.801.513.671.875;2025-04-23T13:57:56Z;;;;;;;;;;;;;;;;;;;;
107;1;-22.713.331.757.113.300;-47.628.656.113.520.200;542.801.513.671.875;2025-04-23T13:58:01Z;;;;;;;;;;;;;;;;;;;;
108;1;-22.713.331.589.475.200;-47.628.656.029.701.200;542.801.513.671.875;2025-04-23T13:58:06Z;;;;;;;;;;;;;;;;;;;;
109;1;-22.713.331.673.294.300;-47.628.656.029.701.200;542.801.513.671.875;2025-04-23T13:58:11Z;;;;;;;;;;;;;;;;;;;;
110;1;-22.713.331.924.751.400;-47.628.656.029.701.200;542.801.513.671.875;2025-04-23T13:58:16Z;;;;;;;;;;;;;;;;;;;;
111;1;-22.713.332.092.389.400;-47.628.655.945.882.200;542.801.513.671.875;2025-04-23T13:58:21Z;;;;;;;;;;;;;;;;;;;;
112;1;-22.713.332.260.027.500;-47.628.655.945.882.200;542.801.513.671.875;2025-04-23T13:58:26Z;;;;;;;;;;;;;;;;;;;;
113;1;-22.713.332.176.208.400;-47.628.655.862.063.100;542.801.513.671.875;2025-04-23T13:58:31Z;;;;;;;;;;;;;;;;;;;;
114;1;-22.713.332.008.570.400;-47.628.655.694.425.100;542.801.513.671.875;2025-04-23T13:58:36Z;;;;;;;;;;;;;;;;;;;;
115;1;-22.713.331.924.751.400;-47.628.655.526.787.000;542.801.513.671.875;2025-04-23T13:58:41Z;;;;;;;;;;;;;;;;;;;;
116;1;-22.713.331.924.751.400;-47.628.655.526.787.000;542.801.513.671.875;2025-04-23T13:58:46Z;;;;;;;;;;;;;;;;;;;;
117;1;-22.713.331.924.751.400;-47.628.655.442.968.000;542.801.513.671.875;2025-04-23T13:58:51Z;;;;;;;;;;;;;;;;;;;;
118;1;-22.713.331.840.932.300;-47.628.655.275.329.900;542.801.513.671.875;2025-04-23T13:58:56Z;;;;;;;;;;;;;;;;;;;;
119;1;-22.713.331.673.294.300;-47.628.655.191.510.900;542.801.513.671.875;2025-04-23T13:59:01Z;;;;;;;;;;;;;;;;;;;;
120;1;-22.713.331.757.113.300;-47.628.655.191.510.900;542.801.513.671.875;2025-04-23T13:59:06Z;;;;;;;;;;;;;;;;;;;;
121;1;-22.713.331.757.113.300;-47.628.655.275.329.900;542.801.513.671.875;2025-04-23T13:59:11Z;;;;;;;;;;;;;;;;;;;;
122;1;-22.713.331.673.294.300;-47.628.655.107.691.800;542.801.513.671.875;2025-04-23T13:59:16Z;;;;;;;;;;;;;;;;;;;;
123;1;-22.713.331.757.113.300;-47.628.655.023.872.800;542.801.513.671.875;2025-04-23T13:59:21Z;;;;;;;;;;;;;;;;;;;;
124;1;-22.713.331.673.294.300;-47.628.654.856.234.700;542.801.513.671.875;2025-04-23T13:59:26Z;;;;;;;;;;;;;;;;;;;;
125;1;-22.713.331.840.932.300;-47.628.654.604.777.600;542.801.513.671.875;2025-04-23T13:59:31Z;;;;;;;;;;;;;;;;;;;;
126;1;-22.713.331.924.751.400;-47.628.654.520.958.600;542.801.513.671.875;2025-04-23T13:59:36Z;;;;;;;;;;;;;;;;;;;;
127;1;-22.713.332.008.570.400;-47.628.654.520.958.600;542.801.513.671.875;2025-04-23T13:59:41Z;;;;;;;;;;;;;;;;;;;;
128;1;-22.713.332.092.389.400;-4.762.865.443.713.960;542.801.513.671.875;2025-04-23T13:59:46Z;;;;;;;;;;;;;;;;;;;;
129;1;-22.713.332.092.389.400;-47.628.654.353.320.500;542.801.513.671.875;2025-04-23T13:59:51Z;;;;;;;;;;;;;;;;;;;;
130;1;-22.713.332.176.208.400;-47.628.654.269.501.500;542.801.513.671.875;2025-04-23T13:59:56Z;;;;;;;;;;;;;;;;;;;;
131;1;-22.713.332.176.208.400;-47.628.654.269.501.500;542.801.513.671.875;2025-04-23T14:00:01Z;;;;;;;;;;;;;;;;;;;;
132;1;-22.713.332.260.027.500;-47.628.654.101.863.500;542.801.513.671.875;2025-04-23T14:00:06Z;;;;;;;;;;;;;;;;;;;;
133;1;-22.713.332.511.484.600;-4.762.865.393.422.540;542.801.513.671.875;2025-04-23T14:00:11Z;;;;;;;;;;;;;;;;;;;;
134;1;-22.713.332.762.941.700;-47.628.653.682.768.300;542.801.513.671.875;2025-04-23T14:00:16Z;;;;;;;;;;;;;;;;;;;;
135;1;-2.271.333.284.676.070;-47.628.653.515.130.200;542.801.513.671.875;2025-04-23T14:00:21Z;;;;;;;;;;;;;;;;;;;;
136;1;-22.713.332.930.579.700;-47.628.653.263.673.100;542.801.513.671.875;2025-04-23T14:00:26Z;;;;;;;;;;;;;;;;;;;;
137;1;-22.713.332.930.579.700;-47.628.653.179.854.100;542.801.513.671.875;2025-04-23T14:00:31Z;;;;;;;;;;;;;;;;;;;;
138;1;-22.713.333.014.398.800;-47.628.653.263.673.100;542.801.513.671.875;2025-04-23T14:00:36Z;;;;;;;;;;;;;;;;;;;;
139;1;-22.713.333.098.217.800;-47.628.653.263.673.100;5.423.209.228.515.620;2025-04-23T14:00:41Z;;;;;;;;;;;;;;;;;;;;
140;1;-22.713.333.182.036.800;-47.628.653.263.673.100;5.423.209.228.515.620;2025-04-23T14:00:46Z;;;;;;;;;;;;;;;;;;;;
141;1;-2.271.333.334.967.490;-47.628.653.096.035.100;5.423.209.228.515.620;2025-04-23T14:00:51Z;;;;;;;;;;;;;;;;;;;;
142;1;-2.271.333.334.967.490;-47.628.652.844.578.000;5.423.209.228.515.620;2025-04-23T14:00:56Z;;;;;;;;;;;;;;;;;;;;
143;1;-22.713.333.517.313.000;-47.628.652.676.939.900;542.801.513.671.875;2025-04-23T14:01:01Z;;;;;;;;;;;;;;;;;;;;
144;1;-22.713.333.684.951.000;-47.628.652.425.482.800;542.801.513.671.875;2025-04-23T14:01:06Z;;;;;;;;;;;;;;;;;;;;
145;1;-22.713.333.768.770.000;-47.628.652.090.206.700;542.801.513.671.875;2025-04-23T14:01:11Z;;;;;;;;;;;;;;;;;;;;
146;1;-2.271.333.385.258.910;-47.628.651.838.749.600;542.801.513.671.875;2025-04-23T14:01:16Z;;;;;;;;;;;;;;;;;;;;
147;1;-2.271.333.385.258.910;-47.628.651.671.111.500;542.801.513.671.875;2025-04-23T14:01:21Z;;;;;;;;;;;;;;;;;;;;
148;1;-22.713.333.936.408.100;-4.762.865.150.347.350;542.801.513.671.875;2025-04-23T14:01:26Z;;;;;;;;;;;;;;;;;;;;
149;1;-22.713.334.104.046.200;-47.628.651.419.654.400;542.801.513.671.875;2025-04-23T14:01:31Z;;;;;;;;;;;;;;;;;;;;
